,hotel_name,hotel_review,tokened_review,cleaned_review
0,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 위치도 적당하고 일단 가성비가 진짜 너무 좋았오요!
아쉬웠던 점
 · 프론트에 직원이 1명 뿐이라 피드백이 조금 늦은점?(큰 불편은 아니었음)","['위치', '적당하다', '가성', '진짜', '프론트', '직원', '피드백', '늦다', '크다', '불편']",위치 적당하다 가성 진짜 프론트 직원 피드백 늦다 크다 불편
1,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 뷰가 좋음 위치도
아쉬웠던 점
 · 수영장 코로나 때문에 닫음","['위치', '수영장', '코로나', '때문', '닫다']",위치 수영장 코로나 때문 닫다
2,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 위치가 시장이랑 가까워서 너무 좋았어요","['위치', '시장', '가깝다']",위치 시장 가깝다
3,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 매우 저렴한 가격 
서귀포 올레 시장과 가까운 위치 
주차의 편리함
아쉬웠던 점
 · 칫솔,치약 미제공
객실의 크기","['저렴하다', '가격', '서귀포', '올레', '시장', '가깝다', '위치', '주차', '편리하다', '칫솔', '치약', '미제', '객실', '크기']",저렴하다 가격 서귀포 올레 시장 가깝다 위치 주차 편리하다 칫솔 치약 미제 객실 크기
4,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 가성비 최고
아쉬웠던 점
 · 욕실바닥이 매우 미끄러움","['가성', '욕실', '바닥', '미끄럽다']",가성 욕실 바닥 미끄럽다
5,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 친절함
청소
가성비
위치
아쉬웠던 점
 · 직원들의 친절 및 적극성 부족
호텔이라는 느낌이 잘 안듬
위생적인 면에서 책임감 문제해결의지 적음","['친절하다', '청소', '가성', '위치', '직원', '친절', '적극성', '부족', '느낌', '자다', '안듬', '위생', '책임감', '문제해결', '의지', '적다']",친절하다 청소 가성 위치 직원 친절 적극성 부족 느낌 자다 안듬 위생 책임감 문제해결 의지 적다
6,호텔 퍼스트70 호텔,"좋았던 점
 · 가성비 최고봉. 가격대비 최상의 퀄리팁니다. 룸 업그레이드까지 해주심 개쩜","['가성', '최고봉', '가격', '대비', '최상', '퀄리팁니', '업그레이드', '주심', '개쩜']",가성 최고봉 가격 대비 최상 퀄리팁니 업그레이드 주심 개쩜
7,호텔 퍼스트70 호텔,"좋았던 점
 · 위치가 특히 좋았어요
아쉬웠던 점
 · 없음",['위치'],위치
8,호텔 퍼스트70 호텔,"좋았던 점
 · 위치와 시설은 정말 갑중에 갑입니다. 직원분들도 친절하십니다. 카펫아니고 바닥이라 좋았구요. 청소는 보이는곳만 되는듯해도 침구상태는 청결했어요. 옥상정원도 좋습니다.
아쉬웠던 점
 · 룸내 전기포트가 없네요.일회용품안주시는건 미리공지되었으면 더좋았을거같아요. 침대밑은 전혀 청소를 안하시는듯해요. 냉장고가 작아요.","['위치', '시설', '정말', '직원', '친절하다', '카펫', '바닥', '청소', '보이다', '침구', '상태', '청결하다', '옥상정원', '룸내', '전기포트', '일회용품', '주다', '미리', '공지', '되어다', '침대', '전혀', '청소', '냉장고', '작다']",위치 시설 정말 직원 친절하다 카펫 바닥 청소 보이다 침구 상태 청결하다 옥상정원 룸내 전기포트 일회용품 주다 미리 공지 되어다 침대 전혀 청소 냉장고 작다
9,호텔 퍼스트70 호텔,"좋았던 점
 · 올레시장에서 걸어서 3분도 안걸려서 좋았고 조식도 간단했지만 다 마음에 들었어요. 룸도 저렴한데 꽤 넓었고 침대도 좋았어요.
아쉬웠던 점
 · 낡은것 같은 느낌이 들었고 화장실 배수구에서 냄새가 났어요.","['레시', '걸다', '분도', '걸리다', '조식', '간단하다', '마음', '들다', '저렴하다', '넓다', '침대', '낡다', '느낌', '들다', '화장실', '수구', '냄새', '나다']",레시 걸다 분도 걸리다 조식 간단하다 마음 들다 저렴하다 넓다 침대 낡다 느낌 들다 화장실 수구 냄새 나다
10,호텔 퍼스트70 호텔,"좋았던 점
 · 맛있았어요
아쉬웠던 점
 · 음식이 빨리 채워줫으면 좋겟어요","['맛있다', '음식', '채우다', '주다']",맛있다 음식 채우다 주다
11,호텔 퍼스트70 호텔,"좋았던 점
 · 위치 룸크기 대부분 좋고 가성비 뛰어났어요
아쉬웠던 점
 · 욕실에서 물비린내가 조금 났어요.","['위치', '크기', '대부분', '가성', '뛰어나다', '욕실', '비리다', '나다']",위치 크기 대부분 가성 뛰어나다 욕실 비리다 나다
12,호텔 퍼스트70 호텔,"좋았던 점
 · 첫날에 퍼스트70에서 지냈는데 엄청깔끔하고 뷰도 좋고 방도 크고 가격이 엄청 저렴했어요.ㅎ
둘째날 호텔보다 훨신 좋았습니다. 거기는 가격도 비싼데방도 작고 별루였습니다.
퍼스트70짱욤!","['첫날', '퍼스트', '지내다', '깔끔하다', '방도', '크다', '가격', '저렴하다', '훨신', '거기', '가격', '비싸다', '방도', '작고', '퍼스트', '짱욤']",첫날 퍼스트 지내다 깔끔하다 방도 크다 가격 저렴하다 훨신 거기 가격 비싸다 방도 작고 퍼스트 짱욤
