,hotel_name,hotel_review,hotel_tourlist
0,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
1,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
2,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
3,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
4,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
5,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
6,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
7,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
8,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
9,호텔 라마다 플라자 광주 호텔,,"주변 장소
광주 평화의소녀상
0.8 km
광주학생독립운동회관
1.8 km
광주 월드컵 경기장
3 km
광주비엔날레
4.9 km
광주 국립 박물관
5.1 km
하남 산업 단지
5.7 km
광주 예술의 거리
6.2 km
국립아시아문화전당
6.5 km
무등산지산유원지
8.8 km
광주패밀리랜드
8.9 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.2 km
인기 투어 & 액티비티
5.18 국립 묘지
12.3 km
무등산 도립 공원
12.6 km
소쇄원
15.1 km
화순하니움문화스포츠센터
15.6 km
나주 금성관
18 km
화순고인돌
19.4 km
나주역
19.5 km
가장 가까운 공항
광주공항
4.7 km
Muan International Airport
45.6 km
여수공항
77.7 km"
