,hotel_name,hotel_review,hotel_tourlist
0,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
1,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
2,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
3,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
4,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
5,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
6,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
7,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
8,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
9,호텔 해월관광호텔,,"주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
10,호텔 해월관광호텔,"좋았던 점
 · 가성비좋고 편안한 공간이었다.
아쉬웠던 점
 · 전망이 다소 아쉬었다.","주변 장소
월미도
0.1 km
인천대교
7.2 km
엔씨큐브 커넬 워크
8.8 km
인천어린이박물관
9.2 km
녹색기후기금
9.2 km
롯데백화점 인천점
9.6 km
뉴코아아울렛 인천점
9.6 km
마트 & 식료품점
수퍼마켓 CU, E-MART24
0.1 km
시장 신포국제시장
5 km
인기 투어 & 액티비티
공항화물청사역
10.9 km
인천 아시안 게임 주경기장
10.9 km
자연 경관
바다 인천 월미도 바다
0.1 km
산 월미산(둘레길)
0.2 km
대중교통
지하철 인천역
1.7 km
페리 인천항 국제여객터미널
2.2 km
기차 운서역
9.4 km
가장 가까운 공항
인천국제공항
13.2 km
김포국제공항
20.2 km"
