,hotel_name,hotel_review,hotel_tourlist
0,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
1,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
2,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
3,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
4,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
5,호텔 호텔 알레그리아 서귀포,,"주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
6,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 위치도 적당하고 일단 가성비가 진짜 너무 좋았오요!
아쉬웠던 점
 · 프론트에 직원이 1명 뿐이라 피드백이 조금 늦은점?(큰 불편은 아니었음)","주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
7,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 뷰가 좋음 위치도
아쉬웠던 점
 · 수영장 코로나 때문에 닫음","주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
8,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 위치가 시장이랑 가까워서 너무 좋았어요","주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
9,호텔 호텔 알레그리아 서귀포,"좋았던 점
 · 매우 저렴한 가격 
서귀포 올레 시장과 가까운 위치 
주차의 편리함
아쉬웠던 점
 · 칫솔,치약 미제공
객실의 크기","주변 장소
걸매생태공원
0.4 km
천지연 폭포
0.4 km
서귀포매일올레시장
0.5 km
열방교회
0.6 km
서귀포성당
0.6 km
제주권역재활병원
0.6 km
이중섭 미술관
0.6 km
세계조가비박물관
0.7 km
삼매봉도서관
0.8 km
기당미술관
0.8 km
마트 & 식료품점
수퍼마켓 HANARO MART
0.1 km
수퍼마켓 CU
0.1 km
수퍼마켓 세븐일레븐
0.1 km
시장 매일올레시장
0.2 km
인기 투어 & 액티비티
제주월드컵경기장
4.6 km
쇠소깍
6.1 km
휴애리 자연생활공원
9.7 km
제주 중문 단지
13.4 km
박물관은살아있다 제주 중문점
13.9 km
신라호텔 카지노
14 km
중문골프클럽
14.1 km
자연 경관
바다 천지연폭포
0.4 km
바다 정방폭표
1.3 km
산 한라산 성판악
16 km
근처 해변
Seonnyeotang Beach
1.3 km
가장 가까운 공항
제주국제공항
29.4 km"
